Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,45,0,Some Random Commen with Id 0
1,0,9,46,9,Some Random Commen with Id 1
2,0,9,178,1,Some Random Commen with Id 2
3,0,9,73,7,Some Random Commen with Id 3
4,0,9,143,3,Some Random Commen with Id 4
5,0,9,19,5,Some Random Commen with Id 5
6,0,9,114,4,Some Random Commen with Id 6
7,0,9,32,8,Some Random Commen with Id 7
8,1,3,58,8,Some Random Commen with Id 8
9,1,3,146,9,Some Random Commen with Id 9
10,1,3,85,5,Some Random Commen with Id 10
11,1,3,89,8,Some Random Commen with Id 11
12,1,3,118,3,Some Random Commen with Id 12
13,1,3,68,5,Some Random Commen with Id 13
14,1,3,9,3,Some Random Commen with Id 14
15,2,6,125,2,Some Random Commen with Id 15
16,2,6,73,4,Some Random Commen with Id 16
17,2,6,190,3,Some Random Commen with Id 17
18,2,6,154,6,Some Random Commen with Id 18
19,2,6,127,6,Some Random Commen with Id 19
20,2,6,30,3,Some Random Commen with Id 20
21,2,6,194,8,Some Random Commen with Id 21
22,3,3,78,3,Some Random Commen with Id 22
23,3,3,90,5,Some Random Commen with Id 23
24,3,3,156,2,Some Random Commen with Id 24
25,3,3,11,2,Some Random Commen with Id 25
26,4,6,52,8,Some Random Commen with Id 26
27,4,6,19,8,Some Random Commen with Id 27
28,4,6,158,7,Some Random Commen with Id 28
29,4,6,115,7,Some Random Commen with Id 29
30,4,6,102,4,Some Random Commen with Id 30
31,5,8,113,3,Some Random Commen with Id 31
32,5,8,143,9,Some Random Commen with Id 32
33,5,8,126,6,Some Random Commen with Id 33
34,5,8,114,9,Some Random Commen with Id 34
35,5,8,117,4,Some Random Commen with Id 35
36,5,8,155,2,Some Random Commen with Id 36
37,5,8,170,3,Some Random Commen with Id 37
38,5,8,149,5,Some Random Commen with Id 38
39,6,3,58,2,Some Random Commen with Id 39
40,6,3,33,4,Some Random Commen with Id 40
41,6,3,70,0,Some Random Commen with Id 41
42,6,3,111,9,Some Random Commen with Id 42
43,6,3,11,4,Some Random Commen with Id 43
44,6,3,118,6,Some Random Commen with Id 44
45,6,3,94,1,Some Random Commen with Id 45
46,6,3,153,0,Some Random Commen with Id 46
47,6,3,198,2,Some Random Commen with Id 47
48,7,2,12,3,Some Random Commen with Id 48
49,7,2,78,3,Some Random Commen with Id 49
50,8,9,70,2,Some Random Commen with Id 50
51,8,9,198,3,Some Random Commen with Id 51
52,8,9,185,9,Some Random Commen with Id 52
53,8,9,112,4,Some Random Commen with Id 53
54,8,9,184,9,Some Random Commen with Id 54
55,8,9,116,9,Some Random Commen with Id 55
56,8,9,7,1,Some Random Commen with Id 56
57,8,9,185,9,Some Random Commen with Id 57
58,8,9,4,4,Some Random Commen with Id 58
59,10,9,127,9,Some Random Commen with Id 59
60,11,7,195,3,Some Random Commen with Id 60
61,11,7,122,9,Some Random Commen with Id 61
